,City,Country,Latitude,Longitude,Temp (F),Humidity (%),Clouds (%),Wind Speed (mph)
40,port perry,ca,44.10504539999999,-78.944148,49.15,84.0,96.0,15.01
41,rio gallegos,ar,-51.6230485,-69.2168291,62.65,31.0,20.0,17.27
42,sampit,id,-2.5394654,112.9586863,75.54,94.0,100.0,1.25
43,tessalit,ml,20.2573532,0.9910297999999998,96.73,12.0,100.0,9.57
44,burica,pa,44.8983119,-116.0982145,,,,
45,antalaha,mg,-14.9061237,50.2785486,79.18,72.0,76.0,13.27
46,arraial do cabo,br,-22.9667613,-42.0277716,75.06,83.0,75.0,8.05
47,cabo san lucas,mx,22.8905327,-109.9167371,74.52,77.0,0.0,3.36
48,east london,za,51.55633,0.0655092,63.54,88.0,75.0,14.97
49,saleaula,ws,-13.4482906,-172.3367114,,,,
50,ushuaia,ar,-54.8019121,-68.3029511,44.26,70.0,75.0,31.07
51,roma,au,26.4088523,-99.0156554,45.19,82.0,1.0,12.66
52,sitka,us,45.6927719,-111.0327072,42.69,75.0,90.0,18.41
53,punta arenas,cl,-53.1638329,-70.9170683,48.22,57.0,75.0,16.11
54,cape town,za,-33.9248685,18.4240553,70.43,69.0,90.0,1.99
55,codrington,ag,17.6425736,-61.8204456,44.47,71.0,29.0,8.3
56,khatanga,ru,71.964027,102.4406129,-8.12,92.0,100.0,8.32
57,lompoc,us,34.6391501,-120.4579409,58.35,82.0,1.0,3.44
58,hede,cn,62.41899669999999,13.489904,58.93,67.0,100.0,3.42
59,augusto correa,br,-1.0249128,-46.6457853,86.88,61.0,93.0,5.88
60,hami,cn,42.81842,93.51514999999999,53.44,31.0,0.0,2.86
61,polovinnoye,ru,54.78940859999999,65.9674841,27.25,61.0,0.0,10.69
62,yellowknife,ca,62.4539717,-114.3717887,31.35,100.0,90.0,8.05
63,port alfred,za,-33.5864065,26.8851448,68.38,76.0,63.0,22.77
64,tezu,in,27.9276542,96.1533094,68.97,54.0,0.0,4.61
65,aksu,cn,41.168779,80.260605,53.74,32.0,100.0,2.89
66,provideniya,ru,64.4031643,-173.2064559,9.12,82.0,40.0,4.52
67,sechura,pe,-5.5622396,-80.8187744,70.5,67.0,79.0,11.74
68,california city,us,35.125801,-117.9859038,52.66,58.0,1.0,3.44
69,fairbanks,us,64.8377778,-147.7163888,17.38,90.0,90.0,5.75
70,leningradskiy,ru,45.0968573,-93.3976883,-10.55,93.0,20.0,5.79
71,castro,cl,37.7609082,-122.4350043,67.3,75.0,98.0,5.61
72,nouadhibou,mr,20.9425179,-17.0362272,71.08,69.0,63.0,10.74
73,norman wells,ca,65.28149379999999,-126.8286524,22.62,95.0,100.0,5.32
74,meyungs,pw,7.352715099999999,134.4488579,,,,
75,kavieng,pg,-2.5781167,150.8086082,82.47,77.0,9.0,7.02
76,barentsburg,sj,78.0648475,14.2334597,,,,
77,nikki,bj,36.130784,-97.05008,94.62,27.0,66.0,6.11
78,saskylakh,ru,71.954308,114.1198349,-19.55,100.0,56.0,4.81
79,pahrump,us,36.2082943,-115.9839147,57.94,42.0,0.0,1.68
80,nizhneyansk,ru,71.450058,136.1122279,,,,
81,nisia floresta,br,-6.0914552,-35.2082289,90.41,46.0,30.0,15.48
82,port elizabeth,za,-33.9608369,25.6022423,63.1,65.0,5.0,23.31
83,dwarka,in,22.2441975,68.96845619999999,82.36,51.0,13.0,12.21
84,mayo,ca,39.1322499,-94.66848859999999,57.63,92.0,90.0,21.0
85,new norfolk,au,-42.781144,147.0622665,39.92,71.0,30.0,3.0
86,cooma,au,-36.2268655,149.1297882,37.65,77.0,7.0,8.12
87,hasaki,jp,40.72969990000001,-73.98881349999999,54.0,57.0,16.0,16.89
88,busselton,au,-33.6516465,115.3473335,51.04,80.0,0.0,9.37
89,solvychegodsk,ru,61.3331709,46.9352284,27.25,93.0,100.0,11.95
90,conceicao do araguaia,br,-8.2625224,-49.2694791,99.01,29.0,3.0,2.86
91,sargatskoye,ru,55.611221,73.4927472,32.56,86.0,100.0,15.86
92,hilo,us,19.7241106,-155.0868193,65.95,63.0,1.0,5.75
93,san policarpo,ph,12.2046953,125.4781649,80.46,83.0,99.0,12.35
94,quatre cocos,mu,-20.201639,57.7743197,75.09,72.0,87.0,12.26
95,trofors,no,65.5350526,13.4070111,44.46,97.0,92.0,3.56
96,great bend,us,38.3644567,-98.7648073,43.12,60.0,1.0,5.01
97,upernavik,gl,72.7862882,-56.1375527,20.08,57.0,14.0,5.35
98,boende,cd,-0.2842862,20.8850949,74.41,87.0,97.0,4.23
99,puerto del rosario,es,28.500821,-13.8628367,74.95,64.0,20.0,11.5
100,beringovskiy,ru,63.0611249,179.3485395,6.62,87.0,93.0,2.48
101,avarua,ck,-21.2129007,-159.7823059,71.65,73.0,0.0,5.75
102,ligayan,ph,4.662637,119.468697,84.15,74.0,39.0,8.93
103,kavaratti,in,10.5593204,72.63581340000002,82.33,74.0,100.0,5.48
104,axim,gh,45.3283677,-73.2896554,82.92,74.0,100.0,8.97
105,genhe,cn,50.780344,121.5203881,34.83,78.0,100.0,7.65
106,bambanglipuro,id,-7.9481229,110.3130087,77.94,90.0,99.0,4.79
107,port hardy,ca,50.7207083,-127.4968728,44.02,76.0,10.0,15.08
108,palabuhanratu,id,-6.9852341,106.5475399,,,,
109,attawapiskat,ca,52.9258846,-82.42889219999999,,,,
110,ketchikan,us,55.34222219999999,-131.6461112,36.07,100.0,75.0,4.61
111,jumla,np,29.28892179999999,82.3017728,50.05,85.0,55.0,1.32
112,guerrero negro,mx,27.9591758,-114.056646,64.53,76.0,0.0,1.28
113,iqaluit,ca,63.74669300000001,-68.5169669,36.7,86.0,100.0,5.99
114,nikolskoye,ru,55.1981604,166.0015368,53.74,78.0,13.0,9.82
115,kuldur,ru,49.2040425,131.6399834,37.6,70.0,99.0,1.61
116,mahebourg,mu,-20.4059505,57.7034222,75.25,72.0,80.0,13.04
117,fortuna,us,40.5981867,-124.1572756,55.04,76.0,90.0,4.61
118,canguaretama,br,-6.3791727,-35.1306466,89.15,48.0,92.0,16.62
119,thompson,ca,47.7735899,-97.109805,33.94,92.0,21.0,6.33
120,faanui,pf,-16.4867378,-151.7429125,78.85,77.0,84.0,16.73
121,olafsvik,is,64.89604849999999,-23.7060262,39.4,86.0,99.0,39.19
122,tiksi,ru,71.63748199999999,128.8644716,9.61,92.0,100.0,6.96
123,airai,pw,7.396611799999999,134.5690225,63.55,92.0,93.0,1.45
124,bambous virieux,mu,-20.3438619,57.7636821,75.22,72.0,81.0,13.69
125,aloleng,ph,16.1160674,119.7802409,79.86,75.0,6.0,7.18
126,bredasdorp,za,-34.5385222,20.0568771,68.29,53.0,72.0,21.41
127,cherskiy,ru,68.742677,161.3507839,-16.2,93.0,88.0,1.48
128,ucluelet,ca,48.9415997,-125.5463446,41.85,92.0,55.0,10.45
129,crestview,us,32.4787415,-94.707797,57.49,69.0,90.0,5.99
130,te anau,nz,-45.41442929999999,167.7180426,48.83,95.0,81.0,1.63
131,blois,fr,47.58609209999999,1.3359475,55.31,83.0,100.0,17.18
132,lawton,us,34.6035669,-98.39592909999999,51.4,40.0,1.0,13.8
133,pangkalanbuun,id,-2.688962000000001,111.622398,75.97,94.0,100.0,1.95
134,tilichiki,ru,60.43333299999999,166.0486109,28.72,86.0,97.0,13.78
135,howard springs,au,-12.4962701,131.0253562,83.44,82.0,19.0,3.58
136,hamilton,bm,37.19295779999999,-95.7175467,56.12,97.0,90.0,0.0
137,vaitupu,wf,-7.476732699999999,178.6747675,,,,
138,coxim,br,-18.5025435,-54.7404766,91.33,47.0,100.0,3.0
139,singaparna,id,-7.357169300000001,108.1132212,72.9,97.0,100.0,2.48
140,albanel,ca,48.8842921,-72.4406364,40.82,61.0,0.0,1.95
141,viligili,mv,0.7573413,73.43422699999999,,,,
142,amderma,ru,69.751221,61.6636961,,,,
143,mehamn,no,71.0357069,27.848941,35.51,87.0,100.0,23.82
144,veshenskaya,ru,49.6315639,41.7147171,49.96,64.0,96.0,6.4
145,aklavik,ca,68.219916,-135.0077881,25.52,89.0,100.0,3.62
146,mar del plata,ar,-38.0054771,-57.5426106,80.62,44.0,0.0,13.8
147,saint-pierre,pm,46.7758459,-56.1806363,72.77,75.0,75.0,5.75
148,torbay,ca,50.4619209,-3.525315,40.51,90.0,100.0,18.99
149,tambacounda,sn,13.7725888,-13.6710059,95.63,31.0,100.0,6.29
150,helmsdale,gb,58.11726099999999,-3.653533,49.12,96.0,100.0,6.22
151,harlingen,nl,26.1906306,-97.69610259999999,62.04,54.0,1.0,6.91
152,luderitz,na,-26.6420382,15.1639082,69.22,60.0,0.0,17.85
153,udachnyy,ru,66.407021,112.2977807,-12.08,100.0,42.0,3.53
154,great falls,us,38.9987208,-77.2538699,57.49,47.0,1.0,24.16
155,chokurdakh,ru,70.622169,147.916168,-10.59,96.0,100.0,3.4
156,vostok,ru,41.5793342,-72.3452649,31.95,76.0,0.0,3.24
157,platteville,us,42.73416,-90.4784621,51.13,93.0,90.0,19.57
158,lichinga,mz,-13.3023564,35.2478112,79.02,31.0,14.0,10.49
159,shitanjing,cn,40.70229700000001,100.912152,46.11,33.0,14.0,4.41
160,esperance,au,-33.8613953,121.8912724,52.3,70.0,32.0,5.57
161,kapitanivka,ua,48.9172739,31.719254,56.53,60.0,5.0,5.32
162,san cristobal,ec,16.7369928,-92.63759879999999,75.38,81.0,85.0,4.72
163,pitimbu,br,-7.473508199999999,-34.8081563,86.59,69.0,51.0,13.56
164,tambopata,pe,-12.5825295,-69.19327620000001,82.29,69.0,0.0,5.75
165,meiganga,cm,6.516396599999999,14.2919273,82.15,57.0,98.0,6.02
166,oranjemund,na,-28.5597111,16.4346979,66.2,69.0,0.0,11.3
167,coahuayana,mx,18.7372222,-103.6688888,80.08,85.0,21.0,3.04
168,rungata,ki,-1.3493599,176.445007,,,,
169,carnarvon,au,-24.8838363,113.6570584,66.27,68.0,0.0,24.16
170,pingxiang,cn,27.622768,113.854556,60.78,96.0,100.0,2.06
171,santa maria del oro,mx,21.3333527,-104.587671,57.16,35.0,0.0,1.07
172,samusu,ws,-14.0056774,-171.4299586,,,,
173,ahipara,nz,-35.1713175,173.1533354,57.87,94.0,69.0,4.85
174,vaini,to,-21.1935,-175.1751534,71.76,100.0,75.0,4.61
175,yingkou,cn,40.667433,122.235084,55.31,67.0,64.0,7.87
176,payo,ph,25.5384465,-103.4267386,75.56,93.0,100.0,2.93
177,povenets,ru,62.847787,34.8257603,48.76,94.0,100.0,12.26
178,brus laguna,hn,15.7697052,-84.5458072,83.1,74.0,100.0,1.83
179,wanaka,nz,-44.6942992,169.1417356,56.1,79.0,77.0,4.0
180,tabuk,sa,28.3835079,36.5661908,72.88,88.0,77.0,3.76
181,arauca,co,6.7801281,-70.7168469,79.34,84.0,71.0,3.29
182,husavik,is,25.6339214,-100.2823168,40.64,99.0,100.0,10.49
183,ilulissat,gl,69.2198118,-51.0986031,21.22,86.0,40.0,2.3
184,belmonte,br,40.351063,-7.3408535,79.3,76.0,16.0,7.43
185,pevek,ru,69.7029321,170.307033,0.01,93.0,100.0,2.89
186,waipawa,nz,-39.9415369,176.5896168,53.67,93.0,85.0,4.59
187,port-gentil,ga,-0.7351025999999999,8.7591311,80.24,80.0,46.0,8.14
188,prince rupert,ca,54.3150367,-130.3208187,37.69,85.0,48.0,5.12
189,talnakh,ru,69.5,88.39999999999999,11.75,94.0,100.0,8.01
190,conceicao da barra,br,-18.4326669,-39.9311348,79.11,74.0,77.0,9.33
191,saint-augustin,ca,-23.55279,43.761681,46.15,32.0,0.0,4.61
192,narsaq,gl,60.9129622,-46.0504831,32.22,69.0,100.0,3.74
193,kalmunai,lk,7.414383099999999,81.8306334,80.46,80.0,100.0,5.53
194,caravelas,br,-17.7337668,-39.2652781,81.9,59.0,97.0,8.88
195,yerbogachen,ru,61.2776586,108.0136671,18.01,84.0,99.0,4.72
196,andros,gr,29.1549994,-81.0716711,62.74,61.0,6.0,11.99
197,santa maria,cv,34.9530337,-120.4357191,79.74,58.0,6.0,7.74
198,kleck,by,39.7438436,-104.840442,,,,
199,canico,pt,32.6483117,-16.8357588,78.96,68.0,20.0,8.05
200,umm durman,sd,15.6475782,32.4806894,,,,
201,huarmey,pe,-10.0664169,-78.1506824,67.35,76.0,100.0,8.97
202,tuktoyaktuk,ca,69.445358,-133.034181,21.58,92.0,100.0,4.34
203,port hedland,au,-20.3123929,118.6093685,77.05,69.0,97.0,11.5
204,lang son,vn,21.853708,106.761519,66.99,98.0,100.0,5.03
205,nuevo casas grandes,mx,30.4124523,-107.9144836,51.75,34.0,0.0,3.22
206,danjiangkou,cn,32.540157,111.513127,58.05,74.0,0.0,2.35
207,stepantsevo,ru,58.896667,38.276111,42.17,83.0,100.0,11.25
208,asau,tv,-13.5191366,-172.6294361,58.95,50.0,10.0,4.76
209,hongjiang,cn,27.208609,109.836669,56.43,97.0,67.0,1.7
210,businga,cd,3.3420568,20.8731737,75.65,95.0,100.0,3.51
211,kingaroy,au,-26.539756,151.843129,64.24,87.0,100.0,4.63
212,mogadishu,so,2.0469343,45.3181623,80.33,75.0,52.0,12.19
213,jiuquan,cn,39.73287,98.494548,43.93,30.0,23.0,1.83
214,bluff,nz,38.9152879,-92.299972,54.84,87.0,100.0,8.72
215,constitucion,mx,29.918556,-106.8032939,65.01,59.0,89.0,11.61
216,ruatoria,nz,-37.8898127,178.3191491,,,,
217,yaan,cn,29.6641763,-95.6909567,93.25,39.0,99.0,2.15
218,ottumwa,us,41.01602930000001,-92.40830220000001,48.56,93.0,90.0,10.0
219,tasiilaq,gl,65.6134561,-37.6335696,28.56,74.0,67.0,5.84
220,saint-philippe,re,-21.3595223,55.7665126,72.52,83.0,86.0,8.95
221,avera,pf,43.4889111,-96.7657105,55.99,89.0,100.0,11.81
222,zeya,ru,53.7359301,127.2585213,29.23,44.0,100.0,6.24
223,ouesso,cg,1.6154718,16.0463837,79.83,75.0,100.0,3.31
224,hanumangarh,in,29.5815012,74.32941989999999,76.5,24.0,0.0,6.82
225,varde,dk,55.623151,8.482149999999999,55.92,78.0,64.0,13.8
226,sergeyevka,kz,50.76186,127.302528,33.93,82.0,100.0,12.39
227,hermanus,za,-34.4092004,19.2504436,68.81,72.0,99.0,17.4
228,ambilobe,mg,-13.2026069,49.0514094,81.72,64.0,39.0,8.9
229,sioux lookout,ca,50.0978321,-91.922038,38.19,95.0,8.0,2.53
230,chuy,uy,36.045809,-96.005479,74.88,56.0,0.0,13.62
231,tabialan,ph,10.8573793,123.9080896,,,,
232,hualmay,pe,-11.0883431,-77.61065119999999,66.52,77.0,100.0,8.59
233,meulaboh,id,4.1436951,96.12811459999999,78.85,87.0,91.0,3.33
234,ponta do sol,cv,32.6854883,-17.0864266,77.02,67.0,95.0,9.04
235,kisangani,cd,0.5185303,25.2007728,79.81,78.0,100.0,3.18
236,katsuura,jp,35.1522272,140.3208833,59.13,62.0,1.0,12.21
237,kodiak,us,57.79000000000001,-152.4072221,36.39,66.0,100.0,7.96
238,clarence town,bs,23.0984997,-74.96617549999999,64.02,48.0,0.0,3.8
239,rio bueno,cl,18.4744708,-77.46732899999999,59.14,50.0,55.0,3.06
240,taoudenni,ml,22.6764132,-3.9789143,92.08,19.0,100.0,4.76
241,padang,id,-0.9470831999999999,100.417181,78.85,84.0,99.0,4.0
242,san juancito,hn,14.2231704,-87.0686703,74.1,97.0,100.0,3.89
243,zehdenick,de,52.9791731,13.3378948,58.23,48.0,44.0,7.65
244,mae chan,th,20.1911601,99.9465077,75.78,95.0,11.0,1.03
245,grand gaube,mu,-20.014212,57.6694082,75.38,78.0,73.0,4.0
246,lorengau,pg,-2.0298424,147.2743657,81.36,79.0,10.0,3.38
247,maningrida,au,-12.0551674,134.2313799,79.18,77.0,38.0,4.54
248,kathu,th,7.9107391,98.3337983,85.69,89.0,78.0,7.31
249,clyde river,ca,70.47636500000002,-68.60126509999999,27.9,92.0,95.0,11.27
250,marcona,pe,-15.3439659,-75.0844757,,,,
251,peniche,pt,39.3603291,-9.387622,63.57,89.0,100.0,11.1
252,toora-khem,ru,52.474609,96.110054,29.86,68.0,55.0,0.63
253,varkaus,fi,62.3246584,27.8961002,48.31,85.0,82.0,10.36
254,shush,ir,33.9650501,-84.2061537,81.7,33.0,100.0,15.32
255,charleston,us,32.7764749,-79.93105120000001,63.95,74.0,20.0,11.99
256,hun,ly,40.3380008,-74.6842975,78.4,26.0,59.0,8.79
257,mareeba,au,-16.9973592,145.423065,71.42,95.0,38.0,1.54
258,maxixe,mz,39.98594689999999,-75.1558069,74.07,53.0,72.0,11.41
259,taltal,cl,-25.406494,-70.4803027,66.16,62.0,0.0,5.73
260,mozhaysk,ru,55.5067264,36.0172876,48.36,89.0,100.0,9.78
261,naze,jp,51.8666667,1.2833333,68.85,70.0,12.0,10.56
262,los llanos de aridane,es,28.6183515,-17.8998566,68.13,77.0,20.0,5.01
263,iquitos,pe,-3.7436735,-73.25163260000001,78.84,83.0,75.0,4.61
264,margate,za,26.2445263,-80.206436,58.24,75.0,100.0,8.01
265,beloha,mg,-25.1694494,45.0606557,68.94,50.0,1.0,19.08
266,kashi,cn,40.6571806,-73.64653609999999,52.27,28.0,100.0,2.3
267,nanning,cn,22.817002,108.366543,68.09,80.0,100.0,5.55
268,lagoa,pt,37.1356176,-8.4514359,68.58,91.0,89.0,17.72
269,kupang,id,-10.1771997,123.6070329,81.81,79.0,84.0,6.53
270,kumluca,tr,36.366948,30.28576499999999,70.99,56.0,21.0,6.55
271,paamiut,gl,61.99411509999999,-49.6665709,33.8,82.0,100.0,3.94
272,ponta delgada,pt,37.7394207,-25.6686725,72.32,88.0,75.0,23.02
273,hirara,jp,24.8218333,125.3137005,76.37,60.0,78.0,12.33
274,siuna,ni,13.7405282,-84.7811621,80.37,76.0,56.0,0.67
275,bom jesus,br,-16.478785,-54.62189799999999,94.62,33.0,17.0,6.35
276,taraz,kz,42.8983715,71.3979891,46.81,81.0,90.0,6.71
277,maraba,br,-5.3671244,-49.1230973,86.18,70.0,75.0,2.3
278,olhao,pt,37.0260416,-7.8423509,71.49,88.0,40.0,12.66
279,makokou,ga,0.5633173,12.857236,83.84,67.0,90.0,2.06
280,pangody,ru,65.85451730000001,74.4882052,28.17,98.0,100.0,3.69
281,umzimvubu,za,-30.7781755,28.9528645,,,,
282,mys shmidta,ru,68.8931114,-179.4125967,,,,
283,adre,td,33.4488792,-112.092514,91.18,13.0,80.0,3.76
284,dolbeau,ca,48.881683,-72.2321138,,,,
285,mitsamiouli,km,-11.3871698,43.2980711,79.2,72.0,19.0,15.43
286,kruisfontein,za,-33.9843356,24.732102,60.89,64.0,45.0,21.45
287,san luis obispo,us,35.2827524,-120.6596156,55.35,79.0,1.0,0.0
288,nanortalik,gl,60.1424955,-45.2394951,35.49,81.0,100.0,5.75
289,isangel,vu,-19.54172,169.2803499,76.3,82.0,98.0,7.72
290,kassala,sd,15.4581332,36.4039629,98.24,16.0,10.0,13.85
291,panzhihua,cn,26.582347,101.718637,62.01,89.0,1.0,1.79
292,bathsheba,bb,33.880935,-84.469805,86.61,58.0,20.0,16.11
293,butzbach,de,50.43503579999999,8.6688418,54.07,83.0,100.0,6.4
294,centralia,us,40.8042541,-76.3405035,47.43,86.0,90.0,0.0
295,daman,in,20.3973736,72.8327991,79.77,51.0,87.0,11.03
296,blora,id,31.1356875,-97.5690625,80.33,80.0,100.0,3.38
297,katangli,ru,51.709626,143.244026,33.46,83.0,0.0,6.29
298,maneadero,mx,31.7154809,-116.570038,64.36,45.0,0.0,1.28
299,ust-uda,ru,54.1761389,103.0257108,28.31,56.0,13.0,4.27
300,manitouwadge,ca,49.1258627,-85.8288146,44.55,94.0,100.0,5.66
301,natal,br,-28.5305539,30.8958242,90.25,48.0,20.0,16.11
302,thinadhoo,mv,0.531061,72.99772519999999,82.85,74.0,100.0,11.65
303,tabou,ci,46.0486111,-71.935,79.56,83.0,66.0,10.78
304,isnos,co,1.9304069,-76.2153744,69.46,62.0,66.0,2.89
305,khormuj,ir,28.6555539,51.37951899999999,,,,
306,martapura,id,-3.411598,114.8452,77.09,100.0,40.0,2.3
307,shaunavon,ca,49.6463379,-108.4215787,54.12,57.0,94.0,17.36
308,leshukonskoye,ru,64.89734659999999,45.76517339999999,26.08,95.0,100.0,9.91
309,mount gambier,au,-37.8398399,140.7553,42.03,74.0,6.0,4.61
310,farad,hu,39.4199196,-120.0316373,59.4,45.0,72.0,12.08
311,sao joao da barra,br,-21.633614,-41.049001,77.09,82.0,100.0,5.7
312,kirakira,sb,49.2681856,-123.1655895,79.99,85.0,100.0,10.38
313,chumikan,ru,54.7165204,135.3084384,37.44,87.0,98.0,10.67
314,carlisle,gb,40.2010241,-77.20027449999999,50.83,85.0,100.0,7.0
315,ixtapa,mx,17.6625661,-101.58734,74.43,94.0,1.0,0.0
316,sola,vu,39.0166549,-95.7642059,81.52,77.0,15.0,17.05
317,grindavik,is,63.8441808,-22.4383818,43.27,81.0,75.0,18.41
318,sentyabrskiy,ru,60.49545690000001,72.2080598,,,,
319,hudson bay,ca,59.712097,-85.253906,36.84,55.0,100.0,4.27
320,marsala,it,40.30638889999999,-79.5830556,64.85,77.0,100.0,14.54
321,suntar,ru,62.15491859999999,117.6331338,17.67,78.0,100.0,8.28
322,rubiataba,br,-15.1663596,-49.8054801,88.41,32.0,82.0,4.94
323,sistranda,no,63.72553499999999,8.834004199999999,48.16,93.0,100.0,9.28
324,acapulco,mx,16.8531086,-99.8236533,78.62,83.0,20.0,6.91
325,kabo,cf,7.694929900000001,18.6264694,89.06,51.0,100.0,3.65
326,kushmurun,kz,52.4473066,64.6214367,39.27,95.0,100.0,12.26
327,eyl,so,40.7625718,-73.5427564,80.4,64.0,2.0,18.25
328,coihaique,cl,-45.5712254,-72.068265,55.35,67.0,75.0,5.75
329,mancheral,in,18.8713826,79.4443099,78.48,67.0,99.0,6.8
330,ibotirama,br,-12.1817335,-43.2171334,91.65,34.0,6.0,5.86
331,abrau-dyurso,ru,44.7013725,37.5999358,52.48,63.0,1.0,12.62
332,lasa,cn,30.2572057,-97.6819854,54.03,43.0,100.0,6.31
333,bengkulu,id,-3.792845099999999,102.2607641,78.69,88.0,100.0,8.34
334,le vauclin,mq,14.5456332,-60.83913039999999,87.85,58.0,20.0,16.11
335,klaksvik,fo,62.2271922,-6.5779064,50.92,89.0,56.0,16.26
336,nelson bay,au,-32.715,152.151111,66.34,66.0,0.0,10.42
337,wenceslau braz,br,-23.8764132,-49.80384369999999,70.18,70.0,98.0,7.99
338,okhotsk,ru,59.35845999999999,143.2034909,25.41,56.0,100.0,17.65
339,sars,ru,37.94606,-122.484373,24.03,68.0,2.0,3.76
340,bilma,ne,18.6929789,12.9176518,96.46,10.0,7.0,8.41
341,larsnes,no,62.20282229999999,5.5773154,53.91,84.0,100.0,6.31
342,vila,vu,35.1258979,-106.5154064,50.02,85.0,100.0,8.72
343,seoul,kr,37.566535,126.9779692,47.93,48.0,100.0,2.77
344,machacamarca,bo,-18.1719809,-67.0220762,58.14,36.0,53.0,5.32
345,palmares do sul,br,-30.2584562,-50.511109,74.64,64.0,100.0,18.21
346,tsihombe,mg,-25.3168473,45.48630929999999,,,,
347,soria,es,41.7665972,-2.4790306,51.85,77.0,100.0,11.34
348,sangerhausen,de,51.4725415,11.2995045,58.41,67.0,69.0,4.12
349,ozgon,kg,40.767421,73.3030715,,,,
350,kloulklubed,pw,7.040244599999999,134.256193,84.74,74.0,88.0,12.8
351,storforshei,no,66.4016108,14.5354519,42.19,100.0,75.0,2.3
352,tres picos,mx,-38.2896082,-62.20828599999999,80.49,77.0,100.0,5.21
353,san jeronimo,mx,6.442825699999999,-75.72776689999999,57.78,47.0,97.0,1.92
354,grand river south east,mu,-20.2888094,57.78141199999999,,,,
355,lazaro cardenas,mx,17.9567646,-102.1943485,77.63,83.0,4.0,4.03
356,sorland,no,67.6635735,12.6926738,44.01,93.0,75.0,2.3
357,kalevala,ru,46.5381147,-92.87163679999999,41.77,100.0,100.0,7.2
358,winston-salem,us,36.09985959999999,-80.244216,57.36,92.0,90.0,3.44
359,poum,nc,49.5506879,-125.0753392,75.2,74.0,25.0,12.59
360,necochea,ar,-38.5544968,-58.73960879999999,85.03,43.0,96.0,16.49
361,tuatapere,nz,-46.1315913,167.6896869,51.84,95.0,100.0,3.0
362,vila velha,br,-20.3518079,-40.3079697,80.55,69.0,20.0,11.5
363,port lincoln,au,-34.7226381,135.8597449,52.25,67.0,7.0,9.86
364,mullaitivu,lk,9.2670911,80.81424799999999,,,,
365,kaeo,nz,-35.1003051,173.7803421,53.33,92.0,95.0,5.06
